ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,
AL-001,Autauga County,Alabama,77.2,1.5,111,75.7,
AL-003,Baldwin County,Alabama,78.9,1.6,116,77.3,
AL-005,Barbour County,Alabama,77.1,0.6,92,76.4,
AL-007,Bibb County,Alabama,75.6,0.8,92,74.8,
AL-009,Blount County,Alabama,72.5,-0.2,57,72.7,
AL-011,Bullock County,Alabama,76.5,0.6,95,75.8,
AL-013,Butler County,Alabama,77.2,0.7,87,76.6,
AL-015,Calhoun County,Alabama,74,0.9,99,73.1,
AL-017,Chambers County,Alabama,74.7,0.6,94,74.1,
AL-019,Cherokee County,Alabama,73.2,0.6,88,72.6,
AL-021,Chilton County,Alabama,76.1,1.3,112,74.8,
AL-023,Choctaw County,Alabama,77.7,1.1,106,76.7,
AL-025,Clarke County,Alabama,77.6,0.6,92,76.9,
AL-027,Clay County,Alabama,74.1,1,106,73.1,
AL-029,Cleburne County,Alabama,73,0.8,95,72.2,
AL-031,Coffee County,Alabama,78.2,1.1,107,77.1,
AL-033,Colbert County,Alabama,73.1,0.8,93,72.3,
AL-035,Conecuh County,Alabama,77.7,0.2,72,77.4,
AL-037,Coosa County,Alabama,75.8,1.2,113,74.5,
AL-039,Covington County,Alabama,78.6,0.9,100,77.8,
AL-041,Crenshaw County,Alabama,77.3,0.8,92,76.5,
AL-043,Cullman County,Alabama,71.9,-0.7,44,72.6,
AL-045,Dale County,Alabama,78,1.1,104,76.9,
AL-047,Dallas County,Alabama,77.1,1.4,108,75.8,
AL-049,DeKalb County,Alabama,70.8,0.3,82,70.4,
AL-051,Elmore County,Alabama,76.7,0.9,102,75.8,
AL-053,Escambia County,Alabama,78.4,0.4,79,78,
AL-055,Etowah County,Alabama,73.2,0.7,94,72.5,
AL-057,Fayette County,Alabama,74.7,0.8,90,73.9,
AL-059,Franklin County,Alabama,72.7,0.7,93,72,
AL-061,Geneva County,Alabama,78.8,1.1,104,77.7,
AL-063,Greene County,Alabama,75.8,0.5,84,75.3,
AL-065,Hale County,Alabama,75.6,0.5,82,75.1,
AL-067,Henry County,Alabama,77.7,0.8,99,76.9,
AL-069,Houston County,Alabama,78.5,0.8,101,77.7,
AL-071,Jackson County,Alabama,70.8,0.1,71,70.7,
AL-073,Jefferson County,Alabama,74.9,1,96,73.8,
AL-075,Lamar County,Alabama,75,1,102,74,
AL-077,Lauderdale County,Alabama,72.4,0.4,83,72,
AL-079,Lawrence County,Alabama,72.2,0.1,70,72.1,
AL-081,Lee County,Alabama,75.2,0.1,75,75.1,
AL-083,Limestone County,Alabama,71.7,-0.2,58,71.9,
AL-085,Lowndes County,Alabama,77.5,1.3,104,76.2,
AL-087,Macon County,Alabama,76.2,0.2,75,76,
AL-089,Madison County,Alabama,71.7,0,60,71.7,
AL-091,Marengo County,Alabama,76.7,0.8,95,75.9,
AL-093,Marion County,Alabama,73.4,0.6,88,72.8,
AL-095,Marshall County,Alabama,71.9,0.3,80,71.5,
AL-097,Mobile County,Alabama,78.9,1.8,117,77.1,
AL-099,Monroe County,Alabama,77.6,0.6,87,77,
AL-101,Montgomery County,Alabama,77.4,1.1,102,76.3,
AL-103,Morgan County,Alabama,71.8,-0.4,55,72.2,
AL-105,Perry County,Alabama,76,0.9,102,75.1,
AL-107,Pickens County,Alabama,75.8,1,100,74.8,
AL-109,Pike County,Alabama,77.1,0.7,92,76.4,
AL-111,Randolph County,Alabama,74,1,102,73,
AL-113,Russell County,Alabama,76.7,0.5,88,76.2,
AL-115,St. Clair County,Alabama,74,0.6,91,73.4,
AL-117,Shelby County,Alabama,75.6,1.3,109,74.3,
AL-119,Sumter County,Alabama,76.5,0.9,98,75.6,
AL-121,Talladega County,Alabama,75.3,1,104,74.2,
AL-123,Tallapoosa County,Alabama,75.3,0.5,92,74.8,
AL-125,Tuscaloosa County,Alabama,75.3,0.5,80,74.8,
AL-127,Walker County,Alabama,74.3,0.6,84,73.7,
AL-129,Washington County,Alabama,78.5,0.7,101,77.8,
AL-131,Wilcox County,Alabama,77.3,1,103,76.3,
AL-133,Winston County,Alabama,72.5,0.2,74,72.3,
AZ-001,Apache County,Arizona,65.9,1.8,105,64,
AZ-003,Cochise County,Arizona,76.8,1.5,100,75.3,
