County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k
Briscoe County,Texas,736.0,2145.3287197231834,62.5,76.2,48.8,1445.0,50934.25605536332
Bristol County,Massachusetts,494004.0,3305.8859722845245,53.2,62.2,44.2,581841.0,84903.60768663604
Bristol County,Rhode Island,45419.0,2509.2030643717044,53.5,61.4,45.6,50255.0,90377.07690777037
Broadwater County,Montana,2725.0,1954.6812749003984,43.8,54.9,32.6,8032.0,33926.79282868526
Bronx County,New York,1300309.0,3439.205706551388,56.9,65.0,48.9,1356476.0,95859.34435994444
Brooke County,West Virginia,12906.0,8094.32461516867,53.0,63.3,42.7,21373.0,60384.5973892294
Brookings County,South Dakota,23146.0,1795.4419121734295,45.0,56.1,33.9,35980.0,64330.18343524181
Brooks County,Georgia,8953.0,3939.673745767928,67.9,79.4,56.3,16245.0,55112.34225915666
Brooks County,Texas,33156.0,4380.841121495327,76.2,87.1,65.2,6848.0,484170.56074766355
Broome County,New York,135560.0,4774.144851257414,48.9,58.4,39.3,196077.0,69136.10469356427
Broomfield County,Colorado,62991.0,1454.592766068176,50.4,64.7,36.1,76860.0,81955.50351288056
Broward County,Florida,1726447.0,3118.625896864814,77.7,87.1,68.4,1962531.0,87970.43205941714
Brown County,Illinois,3879.0,1970.1302828090247,54.8,65.5,43.9,6294.0,61630.12392755005
Brown County,Indiana,9079.0,3245.384271385677,55.3,66.2,44.4,15653.0,58001.66102344598
Brown County,Kansas,6696.0,4400.0,54.9,66.7,43.1,9250.0,72389.18918918919
Brown County,Minnesota,17643.0,3761.5108475105353,47.2,57.5,36.9,25628.0,68842.67207741532
Brown County,Nebraska,1213.0,4276.200490711532,49.2,62.3,36.0,2853.0,42516.64914125482
Brown County,Ohio,19886.0,3022.134911026338,55.4,66.9,43.9,43777.0,45425.68015167782
Brown County,South Dakota,28265.0,3909.045132907535,43.8,54.9,32.8,37733.0,74907.90554686879
Brown County,Texas,18046.0,5040.17153633522,68.1,80.6,55.6,38709.0,46619.64917719393
Brown County,Wisconsin,192233.0,3861.5856781262783,47.5,56.4,38.7,271417.0,70825.70362210179
Brule County,South Dakota,4616.0,4349.463377894935,48.3,60.6,36.1,5311.0,86913.95217473169
