,Covid Deaths Start Date,Covid Deaths End Date,State,County name,Deaths from All Causes,Population 2023,Death Per 100k
0,01/01/2020,06/24/2023,Alaska,Aleutians East Borough,25,3461,722.334585379948
1,01/01/2020,06/24/2023,Alaska,Anchorage Municipality,8869,286075,3100.2359521104604
2,01/01/2020,06/24/2023,Alaska,Bethel Census Area,395,18224,2167.47146619842
3,01/01/2020,06/24/2023,Alaska,Denali Borough,31,1584,1957.0707070707072
4,01/01/2020,06/24/2023,Alaska,Dillingham Census Area,115,4607,2496.2014326025615
5,01/01/2020,06/24/2023,Alaska,Fairbanks North Star Borough,2117,94840,2232.1805145508224
6,01/01/2020,06/24/2023,Alaska,Hoonah-Angoon Census Area,47,2262,2077.8072502210434
7,01/01/2020,06/24/2023,Alaska,Juneau City and Borough,658,31555,2085.2479797179526
8,01/01/2020,06/24/2023,Alaska,Kenai Peninsula Borough,1487,61223,2428.82576809369
9,01/01/2020,06/24/2023,Alaska,Ketchikan Gateway Borough,365,13738,2656.8641723686123
10,01/01/2020,06/24/2023,Alaska,Kodiak Island Borough,238,12565,1894.150417827298
11,01/01/2020,06/24/2023,Alaska,Matanuska-Susitna Borough,2624,115239,2277.006916061403
12,01/01/2020,06/24/2023,Alaska,Nome Census Area,214,9763,2191.9491959438697
13,01/01/2020,06/24/2023,Alaska,North Slope Borough,140,10603,1320.3810242384232
14,01/01/2020,06/24/2023,Alaska,Northwest Arctic Borough,173,7361,2350.2241543268574
15,01/01/2020,06/24/2023,Alaska,Prince of Wales-Hyder Census Area,155,5696,2721.2078651685392
16,01/01/2020,06/24/2023,Alaska,Sitka City and Borough,221,8282,2668.4375754648636
17,01/01/2020,06/24/2023,Alaska,Skagway Municipality,26,1095,2374.4292237442924
18,01/01/2020,06/24/2023,Alaska,Southeast Fairbanks Census Area,123,7077,1738.024586689275
19,01/01/2020,06/24/2023,Alaska,Wrangell City and Borough,75,2064,3633.720930232558
20,01/01/2020,06/24/2023,Alaska,Yukon-Koyukuk Census Area,138,5129,2690.582959641256
21,01/01/2020,06/24/2023,Alabama,Autauga County,1811,60342,3001.226343177223
22,01/01/2020,06/24/2023,Alabama,Baldwin County,8474,253507,3342.7084853672677
23,01/01/2020,06/24/2023,Alabama,Barbour County,970,24585,3945.495220663006
24,01/01/2020,06/24/2023,Alabama,Bibb County,676,21868,3091.2749222608377
25,01/01/2020,06/24/2023,Alabama,Blount County,1830,59816,3059.382105122375
26,01/01/2020,06/24/2023,Alabama,Bullock County,336,9897,3394.9681721733855
27,01/01/2020,06/24/2023,Alabama,Butler County,894,18382,4863.453378304864
28,01/01/2020,06/24/2023,Alabama,Calhoun County,5896,116429,5064.0304391517575
29,01/01/2020,06/24/2023,Alabama,Chambers County,1183,34079,3471.345990199243
30,01/01/2020,06/24/2023,Alabama,Cherokee County,981,25666,3822.1771994077767
31,01/01/2020,06/24/2023,Alabama,Chilton County,1372,46431,2954.922357907433
32,01/01/2020,06/24/2023,Alabama,Choctaw County,439,12252,3583.088475350963
33,01/01/2020,06/24/2023,Alabama,Clarke County,950,22337,4253.033084120518
34,01/01/2020,06/24/2023,Alabama,Clay County,652,14111,4620.508822904118
35,01/01/2020,06/24/2023,Alabama,Cleburne County,519,15639,3318.6265106464607
36,01/01/2020,06/24/2023,Alabama,Coffee County,1846,55643,3317.5781320202004
37,01/01/2020,06/24/2023,Alabama,Colbert County,2629,58361,4504.720618221072
38,01/01/2020,06/24/2023,Alabama,Conecuh County,478,11174,4277.787721496331
39,01/01/2020,06/24/2023,Alabama,Coosa County,317,10268,3087.261394624075
40,01/01/2020,06/24/2023,Alabama,Covington County,2048,37952,5396.290050590219
41,01/01/2020,06/24/2023,Alabama,Crenshaw County,631,13101,4816.426227005572
42,01/01/2020,06/24/2023,Alabama,Cullman County,4040,92016,4390.540775517302
43,01/01/2020,06/24/2023,Alabama,Dale County,1609,49871,3226.3239157025127
44,01/01/2020,06/24/2023,Alabama,Dallas County,1777,36165,4913.590488040923
45,01/01/2020,06/24/2023,Alabama,DeKalb County,2694,72569,3712.328955890256
46,01/01/2020,06/24/2023,Alabama,Elmore County,2389,90441,2641.5010891078164
47,01/01/2020,06/24/2023,Alabama,Escambia County,1524,36558,4168.718201214509
48,01/01/2020,06/24/2023,Alabama,Etowah County,6088,103241,5896.882052672872
49,01/01/2020,06/24/2023,Alabama,Fayette County,617,15967,3864.219953654412
50,01/01/2020,06/24/2023,Alabama,Franklin County,1160,31802,3647.5693352619332
51,01/01/2020,06/24/2023,Alabama,Geneva County,1192,26988,4416.777827182451
52,01/01/2020,06/24/2023,Alabama,Greene County,268,7341,3650.7287835444763
53,01/01/2020,06/24/2023,Alabama,Hale County,521,14888,3499.462654486835
54,01/01/2020,06/24/2023,Alabama,Henry County,514,17899,2871.6688083133135
55,01/01/2020,06/24/2023,Alabama,Houston County,7524,108462,6936.991757481884
56,01/01/2020,06/24/2023,Alabama,Jackson County,2317,53467,4333.514130211158
57,01/01/2020,06/24/2023,Alabama,Jefferson County,39489,662895,5957.05202181341
58,01/01/2020,06/24/2023,Alabama,Lamar County,440,13661,3220.8476685454943
59,01/01/2020,06/24/2023,Alabama,Lauderdale County,5388,96814,5565.310802156713
60,01/01/2020,06/24/2023,Alabama,Lawrence County,1192,33502,3557.9965375201477
61,01/01/2020,06/24/2023,Alabama,Lee County,4827,183215,2634.609611658434
62,01/01/2020,06/24/2023,Alabama,Limestone County,3095,114654,2699.4260993947005
63,01/01/2020,06/24/2023,Alabama,Lowndes County,326,9717,3354.944941854482
64,01/01/2020,06/24/2023,Alabama,Macon County,530,18370,2885.138813282526
65,01/01/2020,06/24/2023,Alabama,Madison County,16468,412600,3991.2748424624333
66,01/01/2020,06/24/2023,Alabama,Marengo County,955,18684,5111.3251980304
67,01/01/2020,06/24/2023,Alabama,Marion County,1345,29244,4599.234030912324
68,01/01/2020,06/24/2023,Alabama,Marshall County,4632,100756,4597.244829092064
69,01/01/2020,06/24/2023,Alabama,Mobile County,20323,411640,4937.080944514624
70,01/01/2020,06/24/2023,Alabama,Monroe County,861,19229,4477.611940298507
71,01/01/2020,06/24/2023,Alabama,Montgomery County,11751,224980,5223.130944972886
72,01/01/2020,06/24/2023,Alabama,Morgan County,4981,125133,3980.564679181351
73,01/01/2020,06/24/2023,Alabama,Perry County,279,7738,3605.582837942621
74,01/01/2020,06/24/2023,Alabama,Pickens County,609,18688,3258.7756849315065
75,01/01/2020,06/24/2023,Alabama,Pike County,1079,33137,3256.1788936837975
76,01/01/2020,06/24/2023,Alabama,Randolph County,774,22786,3396.8226103747916
77,01/01/2020,06/24/2023,Alabama,Russell County,1477,58744,2514.2993326978076
78,01/01/2020,06/24/2023,Alabama,St. Clair County,2993,95552,3132.325853985265
79,01/01/2020,06/24/2023,Alabama,Shelby County,5190,233000,2227.4678111587987
80,01/01/2020,06/24/2023,Alabama,Sumter County,374,11727,3189.221454762514
81,01/01/2020,06/24/2023,Alabama,Talladega County,3238,81132,3991.02696839718
82,01/01/2020,06/24/2023,Alabama,Tallapoosa County,2033,40677,4997.910367037884
83,01/01/2020,06/24/2023,Alabama,Tuscaloosa County,8608,237373,3626.360201033816
84,01/01/2020,06/24/2023,Alabama,Walker County,3598,64728,5558.645408478556
85,01/01/2020,06/24/2023,Alabama,Washington County,508,15022,3381.706829982692
86,01/01/2020,06/24/2023,Alabama,Wilcox County,338,9944,3399.034593724859
87,01/01/2020,06/24/2023,Alabama,Winston County,979,23611,4146.372453517428
88,01/01/2020,06/24/2023,Arkansas,Arkansas County,793,16307,4862.942294720059
89,01/01/2020,06/24/2023,Arkansas,Ashley County,726,18262,3975.4681853028146
90,01/01/2020,06/24/2023,Arkansas,Baxter County,3444,42875,8032.65306122449
91,01/01/2020,06/24/2023,Arkansas,Benton County,7803,311013,2508.898341869954
92,01/01/2020,06/24/2023,Arkansas,Boone County,1729,38530,4487.4124059174665
93,01/01/2020,06/24/2023,Arkansas,Bradley County,358,10104,3543.1512272367377
94,01/01/2020,06/24/2023,Arkansas,Calhoun County,128,4641,2758.026287438052
95,01/01/2020,06/24/2023,Arkansas,Carroll County,801,28814,2779.8986603734297
96,01/01/2020,06/24/2023,Arkansas,Chicot County,434,9538,4550.2201719438035
97,01/01/2020,06/24/2023,Arkansas,Clark County,759,21274,3567.735263702172
98,01/01/2020,06/24/2023,Arkansas,Clay County,642,14201,4520.808393775086
99,01/01/2020,06/24/2023,Arkansas,Cleburne County,999,25445,3926.115150324229
100,01/01/2020,06/24/2023,Arkansas,Cleveland County,261,7378,3537.544049878016
101,01/01/2020,06/24/2023,Arkansas,Columbia County,931,22150,4203.160270880361
102,01/01/2020,06/24/2023,Arkansas,Conway County,671,21077,3183.5650234853156
103,01/01/2020,06/24/2023,Arkansas,Craighead County,8153,113993,7152.193555744651
104,01/01/2020,06/24/2023,Arkansas,Crawford County,1668,61891,2695.060671179978
105,01/01/2020,06/24/2023,Arkansas,Crittenden County,1355,47139,2874.477608774051
106,01/01/2020,06/24/2023,Arkansas,Cross County,616,16420,3751.5225334957368
107,01/01/2020,06/24/2023,Arkansas,Dallas County,308,6185,4979.789814066289
108,01/01/2020,06/24/2023,Arkansas,Desha County,388,10479,3702.6433820020993
109,01/01/2020,06/24/2023,Arkansas,Drew County,692,16945,4083.8005311301267
110,01/01/2020,06/24/2023,Arkansas,Faulkner County,4314,129951,3319.712814830205
111,01/01/2020,06/24/2023,Arkansas,Franklin County,636,17468,3640.9434394321047
112,01/01/2020,06/24/2023,Arkansas,Fulton County,656,12421,5281.378310925046
